model,dataset_key,compression_ratio,fraction,blockwise,chunkkv,snapkv
llama31_8b_instruct,longbench:qmsum,0.3,1.0,24.66,24.92,24.75
llama31_8b_instruct,longbench:qmsum,0.4,1.0,24.56,24.79,24.66
llama31_8b_instruct,longbench:qmsum,0.5,0.01,33.32,30.76,28.37
llama31_8b_instruct,longbench:qmsum,0.5,1.0,24.47,24.81,24.51
llama31_8b_instruct,longbench:qmsum,0.6,1.0,23.85,24.39,24.86
llama31_8b_instruct,longbench:qmsum,0.7,1.0,23.96,24.34,24.49
llama31_8b_instruct,longbench:repobench-p,0.3,1.0,49.23,47.94,47.52
llama31_8b_instruct,longbench:repobench-p,0.4,1.0,48.39,48.33,47.25
llama31_8b_instruct,longbench:repobench-p,0.5,0.01,42.0,42.0,42.0
llama31_8b_instruct,longbench:repobench-p,0.5,1.0,48.93,48.54,47.17
llama31_8b_instruct,longbench:repobench-p,0.6,1.0,50.27,48.86,47.15
llama31_8b_instruct,longbench:repobench-p,0.7,1.0,50.48,49.13,47.52
llama31_8b_instruct,longbench:samsum,0.3,1.0,39.59,40.47,41.04
llama31_8b_instruct,longbench:samsum,0.4,1.0,38.87,40.46,40.69
llama31_8b_instruct,longbench:samsum,0.5,0.01,39.09,51.99,51.99
llama31_8b_instruct,longbench:samsum,0.5,1.0,39.43,39.67,40.56
llama31_8b_instruct,longbench:samsum,0.6,1.0,38.0,40.39,39.85
llama31_8b_instruct,longbench:samsum,0.7,1.0,36.6,38.74,40.66
llama31_8b_instruct,longbench:trec,0.3,1.0,28.5,28.5,31.5
llama31_8b_instruct,longbench:trec,0.4,1.0,24.5,24.5,37.5
llama31_8b_instruct,longbench:trec,0.5,0.01,50.0,0.0,50.0
llama31_8b_instruct,longbench:trec,0.5,1.0,23.0,24.0,36.5
llama31_8b_instruct,longbench:trec,0.6,1.0,24.0,26.5,36.5
llama31_8b_instruct,longbench:trec,0.7,1.0,22.0,24.0,41.0
llama31_8b_instruct,longbench:triviaqa,0.3,1.0,92.23,91.41,91.41
llama31_8b_instruct,longbench:triviaqa,0.4,1.0,91.54,91.41,91.88
llama31_8b_instruct,longbench:triviaqa,0.5,0.01,100.0,90.0,90.0
llama31_8b_instruct,longbench:triviaqa,0.5,1.0,91.72,91.43,91.88
llama31_8b_instruct,longbench:triviaqa,0.6,1.0,91.98,91.98,91.54
llama31_8b_instruct,longbench:triviaqa,0.7,1.0,91.48,91.68,92.08
mistral_7b_instruct_v03,longbench:2wikimqa,0.3,1.0,39.46,38.4,38.8
mistral_7b_instruct_v03,longbench:2wikimqa,0.4,1.0,39.62,37.18,38.89
mistral_7b_instruct_v03,longbench:2wikimqa,0.5,0.01,0.0,0.0,0.0
mistral_7b_instruct_v03,longbench:2wikimqa,0.5,1.0,36.35,37.41,38.74
mistral_7b_instruct_v03,longbench:2wikimqa,0.6,1.0,36.01,36.38,38.28
mistral_7b_instruct_v03,longbench:2wikimqa,0.7,1.0,34.74,35.69,37.67
mistral_7b_instruct_v03,longbench:gov_report,0.3,1.0,33.82,33.99,33.85
mistral_7b_instruct_v03,longbench:gov_report,0.4,1.0,33.51,33.63,33.23
mistral_7b_instruct_v03,longbench:gov_report,0.5,0.01,31.07,29.44,28.91
mistral_7b_instruct_v03,longbench:gov_report,0.5,1.0,33.14,32.95,32.6
mistral_7b_instruct_v03,longbench:gov_report,0.6,1.0,31.97,31.69,31.51
mistral_7b_instruct_v03,longbench:gov_report,0.7,1.0,30.51,30.89,30.28
mistral_7b_instruct_v03,longbench:hotpotqa,0.3,1.0,48.97,48.6,48.75
mistral_7b_instruct_v03,longbench:hotpotqa,0.4,1.0,48.54,48.9,48.71
mistral_7b_instruct_v03,longbench:hotpotqa,0.5,0.01,61.9,61.9,61.9
mistral_7b_instruct_v03,longbench:hotpotqa,0.5,1.0,47.82,48.34,48.01
mistral_7b_instruct_v03,longbench:hotpotqa,0.6,1.0,48.59,47.42,48.58
mistral_7b_instruct_v03,longbench:hotpotqa,0.7,1.0,48.31,47.48,47.69
mistral_7b_instruct_v03,longbench:lcc,0.3,1.0,51.57,51.54,51.14
mistral_7b_instruct_v03,longbench:lcc,0.4,1.0,52.51,51.44,52.5
mistral_7b_instruct_v03,longbench:lcc,0.5,0.01,37.0,40.6,40.6
mistral_7b_instruct_v03,longbench:lcc,0.5,1.0,52.23,52.78,52.52
mistral_7b_instruct_v03,longbench:lcc,0.6,1.0,52.09,52.88,53.38
mistral_7b_instruct_v03,longbench:lcc,0.7,1.0,51.79,54.07,53.34
mistral_7b_instruct_v03,longbench:multi_news,0.3,1.0,26.5,26.01,26.08
mistral_7b_instruct_v03,longbench:multi_news,0.4,1.0,25.98,25.83,26.07
mistral_7b_instruct_v03,longbench:multi_news,0.5,0.01,20.59,19.33,17.74
mistral_7b_instruct_v03,longbench:multi_news,0.5,1.0,25.44,25.48,25.48
mistral_7b_instruct_v03,longbench:multi_news,0.6,1.0,25.08,24.65,24.62
mistral_7b_instruct_v03,longbench:multi_news,0.7,1.0,24.28,23.47,23.95
mistral_7b_instruct_v03,longbench:multifieldqa_en,0.3,1.0,51.33,51.7,51.01
mistral_7b_instruct_v03,longbench:multifieldqa_en,0.4,1.0,51.67,51.7,51.21
mistral_7b_instruct_v03,longbench:multifieldqa_en,0.5,0.01,31.6,34.43,39.15
mistral_7b_instruct_v03,longbench:multifieldqa_en,0.5,1.0,50.51,50.67,51.14
mistral_7b_instruct_v03,longbench:multifieldqa_en,0.6,1.0,50.45,50.4,51.02
mistral_7b_instruct_v03,longbench:multifieldqa_en,0.7,1.0,49.62,50.2,50.69
mistral_7b_instruct_v03,longbench:musique,0.3,1.0,27.84,28.93,28.11
mistral_7b_instruct_v03,longbench:musique,0.4,1.0,27.61,28.34,28.41
mistral_7b_instruct_v03,longbench:musique,0.5,0.01,50.0,50.0,50.0
mistral_7b_instruct_v03,longbench:musique,0.5,1.0,27.19,27.95,27.99
mistral_7b_instruct_v03,longbench:musique,0.6,1.0,25.16,27.83,27.37
mistral_7b_instruct_v03,longbench:musique,0.7,1.0,25.23,28.0,27.7
mistral_7b_instruct_v03,longbench:narrativeqa,0.3,1.0,26.95,28.07,27.95
mistral_7b_instruct_v03,longbench:narrativeqa,0.4,1.0,26.27,27.54,27.42
mistral_7b_instruct_v03,longbench:narrativeqa,0.5,0.01,0.0,0.0,0.0
mistral_7b_instruct_v03,longbench:narrativeqa,0.5,1.0,25.65,27.52,27.23
mistral_7b_instruct_v03,longbench:narrativeqa,0.6,1.0,25.36,27.63,27.11
mistral_7b_instruct_v03,longbench:narrativeqa,0.7,1.0,25.84,27.58,27.0
mistral_7b_instruct_v03,longbench:passage_count,0.3,1.0,4.73,6.12,5.17
mistral_7b_instruct_v03,longbench:passage_count,0.4,1.0,5.25,4.92,5.77
mistral_7b_instruct_v03,longbench:passage_count,0.5,0.01,0.0,0.0,0.0
mistral_7b_instruct_v03,longbench:passage_count,0.5,1.0,4.53,5.27,4.85
mistral_7b_instruct_v03,longbench:passage_count,0.6,1.0,4.03,5.26,4.01
mistral_7b_instruct_v03,longbench:passage_count,0.7,1.0,2.84,5.55,4.68
mistral_7b_instruct_v03,longbench:passage_retrieval_en,0.3,1.0,98.0,98.5,98.0
mistral_7b_instruct_v03,longbench:passage_retrieval_en,0.4,1.0,98.0,98.0,98.5
mistral_7b_instruct_v03,longbench:passage_retrieval_en,0.5,0.01,100.0,100.0,100.0
mistral_7b_instruct_v03,longbench:passage_retrieval_en,0.5,1.0,98.5,98.0,98.5
mistral_7b_instruct_v03,longbench:passage_retrieval_en,0.6,1.0,98.5,98.5,98.5
mistral_7b_instruct_v03,longbench:passage_retrieval_en,0.7,1.0,97.5,98.5,98.5
mistral_7b_instruct_v03,longbench:qasper,0.3,1.0,38.57,39.41,38.44
mistral_7b_instruct_v03,longbench:qasper,0.4,1.0,38.6,39.61,38.55
mistral_7b_instruct_v03,longbench:qasper,0.5,0.01,78.57,78.57,78.57
mistral_7b_instruct_v03,longbench:qasper,0.5,1.0,37.37,39.87,38.47
mistral_7b_instruct_v03,longbench:qasper,0.6,1.0,38.13,37.68,37.06
mistral_7b_instruct_v03,longbench:qasper,0.7,1.0,35.74,36.39,35.82
mistral_7b_instruct_v03,longbench:qmsum,0.3,1.0,25.34,25.29,25.57
mistral_7b_instruct_v03,longbench:qmsum,0.4,1.0,24.85,24.86,25.26
mistral_7b_instruct_v03,longbench:qmsum,0.5,0.01,29.17,35.29,37.85
mistral_7b_instruct_v03,longbench:qmsum,0.5,1.0,24.06,24.94,25.24
mistral_7b_instruct_v03,longbench:qmsum,0.6,1.0,23.63,24.63,24.88
mistral_7b_instruct_v03,longbench:qmsum,0.7,1.0,23.11,24.38,24.98
mistral_7b_instruct_v03,longbench:repobench-p,0.3,1.0,56.46,56.03,56.51
mistral_7b_instruct_v03,longbench:repobench-p,0.4,1.0,56.33,56.47,56.82
mistral_7b_instruct_v03,longbench:repobench-p,0.5,0.01,40.4,63.2,60.8
mistral_7b_instruct_v03,longbench:repobench-p,0.5,1.0,56.46,57.24,57.72
mistral_7b_instruct_v03,longbench:repobench-p,0.6,1.0,57.19,57.4,58.03
mistral_7b_instruct_v03,longbench:repobench-p,0.7,1.0,56.78,57.26,57.99
mistral_7b_instruct_v03,longbench:samsum,0.3,1.0,24.06,22.58,22.79
mistral_7b_instruct_v03,longbench:samsum,0.4,1.0,24.57,22.8,22.69
mistral_7b_instruct_v03,longbench:samsum,0.5,0.01,25.81,18.18,6.0
mistral_7b_instruct_v03,longbench:samsum,0.5,1.0,24.74,24.23,23.25
mistral_7b_instruct_v03,longbench:samsum,0.6,1.0,26.26,25.91,23.58
mistral_7b_instruct_v03,longbench:samsum,0.7,1.0,24.98,24.95,24.66
mistral_7b_instruct_v03,longbench:trec,0.3,1.0,50.73,48.92,49.63
mistral_7b_instruct_v03,longbench:trec,0.4,1.0,51.76,48.1,49.12
mistral_7b_instruct_v03,longbench:trec,0.5,0.01,100.0,75.0,100.0
mistral_7b_instruct_v03,longbench:trec,0.5,1.0,51.42,45.67,49.63
mistral_7b_instruct_v03,longbench:trec,0.6,1.0,51.74,40.89,48.38
mistral_7b_instruct_v03,longbench:trec,0.7,1.0,51.04,36.75,48.5
mistral_7b_instruct_v03,longbench:triviaqa,0.3,1.0,86.02,85.42,86.49
mistral_7b_instruct_v03,longbench:triviaqa,0.4,1.0,86.52,85.96,85.99
mistral_7b_instruct_v03,longbench:triviaqa,0.5,0.01,90.0,90.0,90.0
mistral_7b_instruct_v03,longbench:triviaqa,0.5,1.0,86.92,86.23,86.56
mistral_7b_instruct_v03,longbench:triviaqa,0.6,1.0,87.66,86.26,87.0
mistral_7b_instruct_v03,longbench:triviaqa,0.7,1.0,87.85,86.76,86.94
qwen3_8b,longbench:2wikimqa,0.3,1.0,48.75,48.62,49.58
qwen3_8b,longbench:2wikimqa,0.4,1.0,50.61,49.05,48.88
qwen3_8b,longbench:2wikimqa,0.5,0.01,0.0,0.0,0.0
qwen3_8b,longbench:2wikimqa,0.5,1.0,49.6,50.08,49.28
qwen3_8b,longbench:2wikimqa,0.6,1.0,47.76,49.56,49.78
qwen3_8b,longbench:2wikimqa,0.7,1.0,47.12,48.61,49.41
qwen3_8b,longbench:gov_report,0.3,1.0,33.7,33.2,33.1
qwen3_8b,longbench:gov_report,0.4,1.0,33.03,32.72,32.78
qwen3_8b,longbench:gov_report,0.5,0.01,34.25,32.24,31.31
qwen3_8b,longbench:gov_report,0.5,1.0,32.85,32.5,32.25
qwen3_8b,longbench:gov_report,0.6,1.0,32.54,31.83,31.79
qwen3_8b,longbench:gov_report,0.7,1.0,31.68,31.1,30.73
qwen3_8b,longbench:hotpotqa,0.3,1.0,62.62,62.3,62.05
qwen3_8b,longbench:hotpotqa,0.4,1.0,62.28,62.39,62.05
qwen3_8b,longbench:hotpotqa,0.5,0.01,61.9,61.9,61.9
qwen3_8b,longbench:hotpotqa,0.5,1.0,62.36,61.69,61.63
qwen3_8b,longbench:hotpotqa,0.6,1.0,62.11,62.17,61.64
qwen3_8b,longbench:hotpotqa,0.7,1.0,62.18,61.99,62.13
qwen3_8b,longbench:lcc,0.3,1.0,66.78,66.91,67.12
qwen3_8b,longbench:lcc,0.4,1.0,66.85,67.2,67.39
qwen3_8b,longbench:lcc,0.5,0.01,49.8,63.0,63.0
qwen3_8b,longbench:lcc,0.5,1.0,65.7,67.29,68.15
qwen3_8b,longbench:lcc,0.6,1.0,66.22,67.42,67.49
qwen3_8b,longbench:lcc,0.7,1.0,65.77,67.56,67.8
qwen3_8b,longbench:multi_news,0.3,1.0,24.23,24.11,24.21
qwen3_8b,longbench:multi_news,0.4,1.0,23.93,23.54,23.78
qwen3_8b,longbench:multi_news,0.5,0.01,17.22,19.36,16.97
qwen3_8b,longbench:multi_news,0.5,1.0,23.48,22.86,23.21
qwen3_8b,longbench:multi_news,0.6,1.0,22.92,22.39,22.43
qwen3_8b,longbench:multi_news,0.7,1.0,21.78,21.49,21.35
qwen3_8b,longbench:multifieldqa_en,0.3,1.0,53.95,54.94,55.27
qwen3_8b,longbench:multifieldqa_en,0.4,1.0,52.9,54.44,54.56
qwen3_8b,longbench:multifieldqa_en,0.5,0.01,31.82,26.04,24.03
qwen3_8b,longbench:multifieldqa_en,0.5,1.0,52.2,54.58,54.87
qwen3_8b,longbench:multifieldqa_en,0.6,1.0,52.3,54.44,53.94
qwen3_8b,longbench:multifieldqa_en,0.7,1.0,52.54,54.35,52.04
qwen3_8b,longbench:musique,0.3,1.0,33.79,35.78,35.88
qwen3_8b,longbench:musique,0.4,1.0,35.0,34.31,35.57
qwen3_8b,longbench:musique,0.5,0.01,20.0,20.0,20.0
qwen3_8b,longbench:musique,0.5,1.0,33.77,35.1,35.9
qwen3_8b,longbench:musique,0.6,1.0,33.09,34.98,35.83
qwen3_8b,longbench:musique,0.7,1.0,32.46,34.77,35.58
qwen3_8b,longbench:narrativeqa,0.3,1.0,29.73,28.35,28.92
qwen3_8b,longbench:narrativeqa,0.4,1.0,30.79,28.15,29.03
qwen3_8b,longbench:narrativeqa,0.5,0.01,30.77,18.18,18.18
qwen3_8b,longbench:narrativeqa,0.5,1.0,29.42,28.35,29.07
qwen3_8b,longbench:narrativeqa,0.6,1.0,27.99,27.98,28.61
qwen3_8b,longbench:narrativeqa,0.7,1.0,29.47,29.62,28.12
qwen3_8b,longbench:passage_count,0.3,1.0,9.5,8.5,9.5
qwen3_8b,longbench:passage_count,0.4,1.0,9.0,7.5,9.5
qwen3_8b,longbench:passage_count,0.5,0.01,0.0,0.0,0.0
qwen3_8b,longbench:passage_count,0.5,1.0,9.5,7.0,8.5
qwen3_8b,longbench:passage_count,0.6,1.0,8.05,7.05,9.0
qwen3_8b,longbench:passage_count,0.7,1.0,7.0,7.0,7.55
qwen3_8b,longbench:passage_retrieval_en,0.3,1.0,94.54,91.35,92.43
qwen3_8b,longbench:passage_retrieval_en,0.4,1.0,95.79,92.02,91.77
qwen3_8b,longbench:passage_retrieval_en,0.5,0.01,100.0,100.0,100.0
qwen3_8b,longbench:passage_retrieval_en,0.5,1.0,97.08,91.6,92.39
qwen3_8b,longbench:passage_retrieval_en,0.6,1.0,96.85,92.56,93.04
qwen3_8b,longbench:passage_retrieval_en,0.7,1.0,97.1,91.99,93.1
qwen3_8b,longbench:qasper,0.3,1.0,44.2,43.42,44.17
qwen3_8b,longbench:qasper,0.4,1.0,44.5,44.54,43.88
qwen3_8b,longbench:qasper,0.5,0.01,70.0,55.88,66.0
qwen3_8b,longbench:qasper,0.5,1.0,43.58,43.62,43.16
qwen3_8b,longbench:qasper,0.6,1.0,42.84,43.72,43.17
qwen3_8b,longbench:qasper,0.7,1.0,42.39,42.52,42.19
qwen3_8b,longbench:qmsum,0.3,1.0,24.45,24.43,24.19
qwen3_8b,longbench:qmsum,0.4,1.0,23.86,24.71,24.34
qwen3_8b,longbench:qmsum,0.5,0.01,28.96,33.77,34.85
qwen3_8b,longbench:qmsum,0.5,1.0,23.73,24.42,24.19
qwen3_8b,longbench:qmsum,0.6,1.0,23.39,23.69,24.28
qwen3_8b,longbench:qmsum,0.7,1.0,23.3,23.21,24.26
qwen3_8b,longbench:repobench-p,0.3,1.0,62.25,62.51,62.52
qwen3_8b,longbench:repobench-p,0.4,1.0,62.88,62.94,62.72
qwen3_8b,longbench:repobench-p,0.5,0.01,80.0,66.2,82.8
qwen3_8b,longbench:repobench-p,0.5,1.0,62.85,63.09,63.36
qwen3_8b,longbench:repobench-p,0.6,1.0,63.89,63.91,64.21
qwen3_8b,longbench:repobench-p,0.7,1.0,64.2,64.22,64.93
qwen3_8b,longbench:samsum,0.3,1.0,40.24,40.39,39.89
qwen3_8b,longbench:samsum,0.4,1.0,40.9,40.14,40.68
qwen3_8b,longbench:samsum,0.5,0.01,42.29,42.29,42.29
qwen3_8b,longbench:samsum,0.5,1.0,40.24,39.9,40.62
qwen3_8b,longbench:samsum,0.6,1.0,39.82,40.62,40.85
qwen3_8b,longbench:samsum,0.7,1.0,39.88,40.38,41.14
qwen3_8b,longbench:trec,0.3,1.0,39.0,40.0,41.5
qwen3_8b,longbench:trec,0.4,1.0,35.5,41.5,40.0
qwen3_8b,longbench:trec,0.5,0.01,50.0,50.0,50.0
qwen3_8b,longbench:trec,0.5,1.0,34.0,40.0,39.5
qwen3_8b,longbench:trec,0.6,1.0,32.0,37.0,38.0
qwen3_8b,longbench:trec,0.7,1.0,29.5,33.5,34.75
qwen3_8b,longbench:triviaqa,0.3,1.0,90.26,90.06,90.46
qwen3_8b,longbench:triviaqa,0.4,1.0,90.16,90.21,89.96
qwen3_8b,longbench:triviaqa,0.5,0.01,90.0,90.0,90.0
qwen3_8b,longbench:triviaqa,0.5,1.0,90.24,90.18,89.96
qwen3_8b,longbench:triviaqa,0.6,1.0,90.24,89.93,90.21
qwen3_8b,longbench:triviaqa,0.7,1.0,88.92,90.21,90.21
