model,dataset_key,compression_ratio,fraction,blockwise,chunkkv,snapkv
mistral_7b_instruct_v03,longbench:hotpotqa,0.5,1.0,47.82,48.63,48.01
mistral_7b_instruct_v03,longbench:hotpotqa,0.6,1.0,48.59,48.67,48.58
mistral_7b_instruct_v03,longbench:hotpotqa,0.7,1.0,48.31,47.26,47.69
mistral_7b_instruct_v03,longbench:hotpotqa,0.8,1.0,48.28,46.98,47.98
mistral_7b_instruct_v03,longbench:multifieldqa_en,0.3,1.0,51.33,51.62,51.0
mistral_7b_instruct_v03,longbench:multifieldqa_en,0.4,1.0,51.67,51.37,50.99
mistral_7b_instruct_v03,longbench:multifieldqa_en,0.5,1.0,50.51,50.85,50.92
mistral_7b_instruct_v03,longbench:multifieldqa_en,0.6,1.0,50.45,50.4,51.02
mistral_7b_instruct_v03,longbench:multifieldqa_en,0.7,1.0,49.62,50.2,50.69
mistral_7b_instruct_v03,longbench:multifieldqa_en,0.8,1.0,47.31,50.53,49.92
mistral_7b_instruct_v03,longbench:musique,0.3,1.0,27.84,28.93,28.11
mistral_7b_instruct_v03,longbench:musique,0.4,1.0,27.62,28.34,28.34
mistral_7b_instruct_v03,longbench:musique,0.5,1.0,27.14,27.95,27.99
mistral_7b_instruct_v03,longbench:musique,0.6,1.0,25.41,27.83,27.18
mistral_7b_instruct_v03,longbench:musique,0.7,1.0,25.22,28.0,27.63
mistral_7b_instruct_v03,longbench:musique,0.8,1.0,26.21,27.75,26.32
mistral_7b_instruct_v03,longbench:qasper,0.3,1.0,38.65,39.41,38.44
mistral_7b_instruct_v03,longbench:qasper,0.4,1.0,38.6,39.61,38.28
mistral_7b_instruct_v03,longbench:qasper,0.5,1.0,37.96,39.87,38.27
mistral_7b_instruct_v03,longbench:qasper,0.6,1.0,37.43,37.68,37.06
mistral_7b_instruct_v03,longbench:qasper,0.7,1.0,35.94,36.39,36.19
mistral_7b_instruct_v03,longbench:qasper,0.8,1.0,34.42,34.32,34.53
mistral_7b_instruct_v03,longbench:triviaqa,0.3,1.0,86.02,85.42,86.49
mistral_7b_instruct_v03,longbench:triviaqa,0.4,1.0,86.52,85.46,85.86
mistral_7b_instruct_v03,longbench:triviaqa,0.5,1.0,86.92,86.23,86.56
mistral_7b_instruct_v03,longbench:triviaqa,0.6,1.0,87.66,86.26,86.84
mistral_7b_instruct_v03,longbench:triviaqa,0.7,1.0,87.85,86.76,86.94
mistral_7b_instruct_v03,longbench:triviaqa,0.8,1.0,88.12,86.96,86.9
mistral_7b_instruct_v03,needle_in_haystack:16384,0.3,1.0,57.473412911278146,69.45454498698348,70.61224442633278
mistral_7b_instruct_v03,needle_in_haystack:16384,0.4,1.0,57.57719829799953,70.61224442633278,69.45454498698348
mistral_7b_instruct_v03,needle_in_haystack:16384,0.5,1.0,60.15239430512811,69.45454498698348,69.45454498698348
mistral_7b_instruct_v03,needle_in_haystack:16384,0.6,1.0,67.58471189963615,69.81132028573336,74.99999953125
mistral_7b_instruct_v03,needle_in_haystack:16384,0.7,1.0,66.80995427985872,70.1960779610246,74.99999953125
mistral_7b_instruct_v03,needle_in_haystack:16384,0.8,1.0,55.189355049117545,68.82317755062665,74.1935479205255
mistral_7b_instruct_v03,pg19:test,0.3,1.0,7.0347,7.002,6.9912
mistral_7b_instruct_v03,pg19:test,0.4,1.0,7.0896,7.0225,7.0111
mistral_7b_instruct_v03,pg19:test,0.5,1.0,7.1469,7.0592,7.0283
mistral_7b_instruct_v03,pg19:test,0.6,1.0,7.2277,7.1187,7.0697
mistral_7b_instruct_v03,pg19:test,0.7,1.0,7.3583,7.2234,7.1412
mistral_7b_instruct_v03,pg19:test,0.8,1.0,7.5367,7.4073,7.262
qwen3_8b,longbench:2wikimqa,0.3,1.0,48.04,47.98,49.23
qwen3_8b,longbench:2wikimqa,0.4,1.0,49.83,48.48,49.01
qwen3_8b,longbench:2wikimqa,0.5,1.0,49.26,49.08,49.11
qwen3_8b,longbench:2wikimqa,0.6,1.0,47.76,48.88,49.12
qwen3_8b,longbench:2wikimqa,0.7,1.0,46.94,48.12,48.37
qwen3_8b,longbench:2wikimqa,0.8,1.0,43.96,45.62,47.08
qwen3_8b,longbench:hotpotqa,0.3,1.0,62.65,62.3,62.05
qwen3_8b,longbench:hotpotqa,0.4,1.0,62.35,62.46,62.03
qwen3_8b,longbench:hotpotqa,0.5,1.0,62.16,62.17,61.77
qwen3_8b,longbench:hotpotqa,0.6,1.0,62.42,62.17,61.64
qwen3_8b,longbench:hotpotqa,0.7,1.0,61.6,61.94,62.27
qwen3_8b,longbench:hotpotqa,0.8,1.0,59.82,61.52,61.71
qwen3_8b,longbench:multifieldqa_en,0.3,1.0,53.42,55.54,55.47
qwen3_8b,longbench:multifieldqa_en,0.4,1.0,52.39,54.93,55.31
qwen3_8b,longbench:multifieldqa_en,0.5,1.0,52.58,54.7,55.21
qwen3_8b,longbench:multifieldqa_en,0.6,1.0,53.25,54.54,54.29
qwen3_8b,longbench:multifieldqa_en,0.7,1.0,53.44,54.87,52.63
qwen3_8b,longbench:multifieldqa_en,0.8,1.0,50.7,53.59,52.66
qwen3_8b,longbench:musique,0.3,1.0,33.73,34.46,35.85
qwen3_8b,longbench:musique,0.4,1.0,34.78,35.27,36.04
qwen3_8b,longbench:musique,0.5,1.0,34.18,33.78,36.29
qwen3_8b,longbench:musique,0.6,1.0,32.51,35.16,36.02
qwen3_8b,longbench:musique,0.7,1.0,32.38,35.16,35.57
qwen3_8b,longbench:musique,0.8,1.0,30.83,34.75,35.69
qwen3_8b,longbench:qasper,0.3,1.0,44.19,43.96,44.0
qwen3_8b,longbench:qasper,0.4,1.0,44.4,44.15,43.15
qwen3_8b,longbench:qasper,0.5,1.0,43.76,43.35,43.53
qwen3_8b,longbench:qasper,0.6,1.0,42.42,43.65,43.09
qwen3_8b,longbench:qasper,0.7,1.0,42.06,41.99,42.21
qwen3_8b,longbench:qasper,0.8,1.0,38.07,39.38,40.63
qwen3_8b,longbench:triviaqa,0.3,1.0,89.84,89.56,90.56
qwen3_8b,longbench:triviaqa,0.4,1.0,89.74,89.46,89.56
qwen3_8b,longbench:triviaqa,0.5,1.0,90.49,89.96,89.96
qwen3_8b,longbench:triviaqa,0.6,1.0,90.24,89.93,90.21
qwen3_8b,longbench:triviaqa,0.7,1.0,89.74,89.93,90.21
qwen3_8b,longbench:triviaqa,0.8,1.0,88.21,90.05,90.21
qwen3_8b,needle_in_haystack:16384,0.3,1.0,71.61290275923517,74.99999953125,74.99999953125
qwen3_8b,needle_in_haystack:16384,0.4,1.0,74.99999953125,71.61290275923517,74.99999953125
qwen3_8b,needle_in_haystack:16384,0.5,1.0,74.99999953125,71.61290275923517,74.99999953125
qwen3_8b,needle_in_haystack:16384,0.6,1.0,74.99999953125,71.61290275923517,71.61290275923517
qwen3_8b,needle_in_haystack:16384,0.7,1.0,74.99999953125,64.83870921520551,71.61290275923517
qwen3_8b,needle_in_haystack:16384,0.8,1.0,64.85565310218894,61.45161244319068,71.61290275923517
qwen3_8b,pg19:test,0.3,1.0,12.4087,12.3784,12.3286
qwen3_8b,pg19:test,0.4,1.0,12.5119,12.4626,12.3501
qwen3_8b,pg19:test,0.5,1.0,12.616,12.5426,12.3627
qwen3_8b,pg19:test,0.6,1.0,12.7542,12.6908,12.396
qwen3_8b,pg19:test,0.7,1.0,12.9805,12.8674,12.4872
qwen3_8b,pg19:test,0.8,1.0,13.2916,13.213,12.7009
