system,source,source_detail,model_key,model_label,batch_size,output_len_bucket,output_label,num_requests,num_completed,num_failed,status,median_ttft_s,p99_ttft_s,median_e2e_s,p99_e2e_s,median_tpot_ms,p99_tpot_ms,gpu_peak_memory_gb,decode_throughput_tok_s,notes,throughput_vs_vllm_x,ttft_vs_vllm_x,p99_e2e_vs_vllm_x
InfiniGen,measured,raw_infinigen,llama31_8b_instruct,Llama-3.1-8B,8,1024,1k,32,32,0,ok,24.94686636305414,38.669218624942005,234.9636437559966,318.7884512646124,205.66312275701296,273.82134177875895,22.396416187286377,32.354578183296965,measured raw requests,0.2990241590431114,0.7319349672422772,0.23771327260679695
KVCore (pred.),predicted,modelaware_from_vllm_configs_and_blockwisepress_prior,llama31_8b_instruct,Llama-3.1-8B,8,1024,1k,32,32,0,predicted,16.707427690029142,17.032915122520922,56.72185277938843,57.21408574461937,37.598890207285045,48.089353048031576,33.140429687499996,164.46483453372431,"Model-aware KVCore prediction; avoids most but not all preemptions; kv_unit_rel=1.000, pressure=1.000",1.52,1.092896174863388,1.3245033112582782
vLLM,measured,raw_vllm,llama31_8b_instruct,Llama-3.1-8B,8,2048,2k,32,32,0,ok,13.413697242736816,13.711139647960662,97.16865229606628,97.35673904418945,40.919609200336836,46.71073900522957,41.9072265625,168.58343739183982,measured raw requests,1.0,1.0,1.0
InfiniGen,measured,raw_infinigen,llama31_8b_instruct,Llama-3.1-8B,8,2048,2k,32,32,0,ok,24.760699742706493,26.900869709905237,554.059048612602,763.223664929159,257.8608185972138,361.1320476903037,22.491020679473877,27.576622831981375,measured raw requests,0.16357848231487185,0.5417333670744888,0.12755990611641468
KVCore (pred.),predicted,modelaware_from_vllm_configs_and_blockwisepress_prior,llama31_8b_instruct,Llama-3.1-8B,8,2048,2k,32,32,0,predicted,11.938190546035765,12.202914286684988,66.07468356132507,65.22901515960693,24.5517655202021,28.02644340313774,28.077841796875003,300.07851855747487,"Model-aware KVCore prediction; avoids most but not all preemptions; kv_unit_rel=1.000, pressure=2.000",1.7799999999999998,1.1235955056179776,1.492537313432836
vLLM,measured,raw_vllm,llama31_8b_instruct,Llama-3.1-8B,8,6144,6k,32,32,0,ok,13.602355599403381,13.749994399547576,286.88215589523315,288.09239172935486,44.50134257080888,46.56275745324769,38.7861328125,171.16582704655193,measured raw requests,1.0,1.0,1.0
InfiniGen,measured,raw_infinigen,llama31_8b_instruct,Llama-3.1-8B,8,6144,6k,32,32,0,ok,24.63644545758143,27.91784135811031,1234.1604727606755,1258.5653134617023,196.74970697364148,201.17880753571225,22.869438648223877,39.80456714190132,measured raw requests,0.2325497316183077,0.5521233013432746,0.22890539620621875
KVCore (pred.),predicted,modelaware_from_vllm_configs_and_blockwisepress_prior,llama31_8b_instruct,Llama-3.1-8B,8,6144,6k,32,32,0,predicted,11.766037593483924,11.893745155608652,174.9981150960922,168.53404916167258,23.585711562528708,24.678261450221278,23.853471679687498,349.17828717496593,"Model-aware KVCore prediction; avoids most but not all preemptions; kv_unit_rel=1.000, pressure=3.000",2.04,1.1560693641618498,1.7094017094017095
vLLM,measured,raw_vllm,llama31_8b_instruct,Llama-3.1-8B,16,1024,1k,32,32,0,ok,26.966924786567688,27.146316201686858,82.93788814544678,83.18801093101501,55.00548378128828,79.5193482355129,43.6044921875,197.3571131817871,measured raw requests,1.0,1.0,1.0
InfiniGen,measured,raw_infinigen,llama31_8b_instruct,Llama-3.1-8B,16,1024,1k,32,32,0,ok,50.42203628295101,51.95514728594571,517.7244983189739,533.7557854270563,456.7961505728474,473.9656501926686,29.827324390411377,31.619687686212668,measured raw requests,0.16021559687634637,0.5348241914554708,0.15585406884996394
KVCore (pred.),predicted,modelaware_from_vllm_configs_and_blockwisepress_prior,llama31_8b_instruct,Llama-3.1-8B,16,1024,1k,32,32,0,predicted,23.461224564313888,23.617295095467565,56.3977639389038,55.73596732378005,33.003290268772965,47.71160894130774,29.215009765625002,347.3485191999453,"Model-aware KVCore prediction; avoids most but not all preemptions; kv_unit_rel=1.000, pressure=2.000",1.76,1.149425287356322,1.4925373134328361
vLLM,measured,raw_vllm,llama31_8b_instruct,Llama-3.1-8B,16,2048,2k,32,32,0,ok,26.97388482093811,27.595934257507324,180.37393367290497,184.5176362991333,77.00085604994877,88.05656327413557,46.80322265625,181.5799614162708,measured raw requests,1.0,1.0,1.0
InfiniGen,measured,raw_infinigen,llama31_8b_instruct,Llama-3.1-8B,16,2048,2k,32,32,0,ok,52.42864248086698,54.62208275170997,875.7962844413705,877.3991536609828,402.23138346873645,402.5198891117412,30.016533374786377,37.393815586590684,measured raw requests,0.20593580533297737,0.5144875690951145,0.21030067732482546
KVCore (pred.),predicted,modelaware_from_vllm_configs_and_blockwisepress_prior,llama31_8b_instruct,Llama-3.1-8B,16,2048,2k,32,32,0,predicted,22.792932673692704,23.318564447593687,110.02809954047201,107.94281723499297,40.81045370647285,46.669978535291854,28.78398193359375,366.791522060867,"Model-aware KVCore prediction; avoids most but not all preemptions; kv_unit_rel=1.000, pressure=3.000",2.02,1.183431952662722,1.7094017094017095
vLLM,measured,raw_vllm,llama31_8b_instruct,Llama-3.1-8B,16,6144,6k,32,32,0,ok,15.388619065284729,554.0374406814575,783.3191426992416,790.0555486679077,123.93261440333619,128.17372955005825,30.1376953125,125.47664321093366,measured raw requests,1.0,1.0,1.0
InfiniGen,measured,raw_infinigen,llama31_8b_instruct,Llama-3.1-8B,16,6144,6k,32,32,0,ok,51.328218954615295,55.06139200506732,2258.2852304680273,2361.3960212199017,359.2637166715631,375.4410921723644,30.773369312286377,43.51558466356822,measured raw requests,0.3468022697293228,0.29980816359304097,0.3345713897916045
KVCore (pred.),predicted,modelaware_from_vllm_configs_and_blockwisepress_prior,llama31_8b_instruct,Llama-3.1-8B,16,6144,6k,32,32,0,predicted,12.618667633533477,454.31070135879514,422.99233705759053,395.0277743339538,59.48765491360137,61.52339018402796,16.877109375,286.0867465209288,"Model-aware KVCore prediction; avoids most but not all preemptions; kv_unit_rel=1.000, pressure=4.000",2.2800000000000002,1.2195121951219514,2.0000000000000004
vLLM,measured,raw_vllm,mistral_7b_instruct_v03,Mistral-7B,1,1024,1k,32,32,0,ok,1.7479339838027954,1.7661877107620239,27.60689878463745,27.89773102760315,25.305102366057394,25.58132027693224,43.2880859375,37.117577897285706,measured raw requests,1.0,1.0,1.0
InfiniGen,predicted,llama31_ratio_with_model_specific_adjustment,mistral_7b_instruct_v03,Mistral-7B,1,1024,1k,32,32,0,predicted,2.2353971241069015,4.306618722568668,73.09654045848984,133.07311397496113,70.63178539635894,130.23902377024606,15.899393087895461,13.459776236746935,"Predicted from Llama-3.1 InfiniGen/vLLM ratio plus model-aware adjustment; kv_unit_rel=1.000, pressure=0.000",0.36262539204453875,0.7819344334627522,0.20964212976072952
KVCore (pred.),predicted,modelaware_from_vllm_configs_and_blockwisepress_prior,mistral_7b_instruct_v03,Mistral-7B,1,1024,1k,32,32,0,predicted,1.7042356342077254,1.7220330179929733,23.18979497909546,24.131537338876726,19.23187779820362,19.441803410468502,33.76470703125,44.659869726014165,"Model-aware KVCore prediction; avoids most but not all preemptions; kv_unit_rel=1.000, pressure=0.000",1.2032,1.0256410256410258,1.1560693641618496
vLLM,measured,raw_vllm,mistral_7b_instruct_v03,Mistral-7B,1,2048,2k,32,32,0,ok,1.7493207454681396,1.832362723350525,53.68582999706268,54.07195129394531,25.38374785920159,25.572432593050124,43.1708984375,38.112244166587466,measured raw requests,1.0,1.0,1.0
InfiniGen,predicted,llama31_ratio_with_model_specific_adjustment,mistral_7b_instruct_v03,Mistral-7B,1,2048,2k,32,32,0,predicted,2.1905049348537675,19.33468847781658,144.99494107051925,164.9366706476406,71.17746850485081,76.21829321351085,15.911236031068992,14.305085751495843,"Predicted from Llama-3.1 InfiniGen/vLLM ratio plus model-aware adjustment; kv_unit_rel=1.000, pressure=1.000",0.37534094526076045,0.7985924695416948,0.3278346233231597
KVCore (pred.),predicted,modelaware_from_vllm_configs_and_blockwisepress_prior,mistral_7b_instruct_v03,Mistral-7B,1,2048,2k,32,32,0,predicted,1.6618547081947326,1.7407445871829987,41.33808909773827,42.17612200927734,17.514786022849098,17.644978489204583,31.2989013671875,55.171284655552014,"Model-aware KVCore prediction; avoids most but not all preemptions; kv_unit_rel=1.000, pressure=1.000",1.4476,1.0526315789473686,1.282051282051282
vLLM,measured,raw_vllm,mistral_7b_instruct_v03,Mistral-7B,1,6144,6k,32,32,0,ok,1.7333528995513916,1.7631562638282776,159.48911821842194,162.27831593990325,25.680533660404084,26.13515445053364,42.7646484375,38.69208439459428,measured raw requests,1.0,1.0,1.0
InfiniGen,predicted,llama31_ratio_with_model_specific_adjustment,mistral_7b_instruct_v03,Mistral-7B,1,6144,6k,32,32,0,predicted,2.2001074985513642,3.960192964066349,405.2830891280269,505.5073774539007,66.97985528967537,83.63662000888375,15.958601288305639,14.922057540356278,"Predicted from Llama-3.1 InfiniGen/vLLM ratio plus model-aware adjustment; kv_unit_rel=1.000, pressure=2.000",0.3856617645143216,0.7878491849569614,0.32102066790252154
KVCore (pred.),predicted,modelaware_from_vllm_configs_and_blockwisepress_prior,mistral_7b_instruct_v03,Mistral-7B,1,6144,6k,32,32,0,predicted,1.603351432085037,1.6309195440411566,111.64238275289534,112.78342957823276,15.921930869450533,16.203795759330855,28.652314453125,65.46700679565352,"Model-aware KVCore prediction; avoids most but not all preemptions; kv_unit_rel=1.000, pressure=2.000",1.6919999999999997,1.0810810810810811,1.4388489208633095
vLLM,measured,raw_vllm,mistral_7b_instruct_v03,Mistral-7B,8,1024,1k,32,32,0,ok,13.005394101142883,13.558253371715546,51.648168325424194,51.881526470184326,37.529480433977284,49.02644581990699,43.3515625,159.72931643863123,measured raw requests,1.0,1.0,1.0
InfiniGen,predicted,llama31_ratio_with_model_specific_adjustment,mistral_7b_instruct_v03,Mistral-7B,8,1024,1k,32,32,0,predicted,17.057770014920543,27.037870706925293,150.832281846222,205.15739128560054,132.03831920684948,179.55388469573845,21.240422735131105,51.583958484400156,"Predicted from Llama-3.1 InfiniGen/vLLM ratio plus model-aware adjustment; kv_unit_rel=1.000, pressure=1.000",0.32294609176656036,0.7624322575440389,0.2528864602199967
KVCore (pred.),predicted,modelaware_from_vllm_configs_and_blockwisepress_prior,mistral_7b_instruct_v03,Mistral-7B,8,1024,1k,32,32,0,predicted,12.09501651406288,12.609175635695458,39.76908961057663,40.46759064674377,25.895341499444324,33.82824761573582,31.4298828125,228.22124732751627,"Model-aware KVCore prediction; avoids most but not all preemptions; kv_unit_rel=1.000, pressure=1.000",1.4287999999999998,1.0752688172043012,1.2820512820512822
vLLM,measured,raw_vllm,mistral_7b_instruct_v03,Mistral-7B,8,2048,2k,32,32,0,ok,13.449305772781372,13.551912615299225,91.90056216716766,92.49260663986206,38.461724159654636,44.29971174294182,42.5390625,178.170290548133,measured raw requests,1.0,1.0,1.0
InfiniGen,predicted,llama31_ratio_with_model_specific_adjustment,mistral_7b_instruct_v03,Mistral-7B,8,2048,2k,32,32,0,predicted,23.83337325443865,25.524931927366964,492.5790018471175,681.5860319160452,232.67721748749383,328.7921389457482,22.830118164609374,31.476411779180427,"Predicted from Llama-3.1 InfiniGen/vLLM ratio plus model-aware adjustment; kv_unit_rel=1.000, pressure=2.000",0.1766647609000616,0.5643055907025925,0.13570202778341986
KVCore (pred.),predicted,modelaware_from_vllm_configs_and_blockwisepress_prior,mistral_7b_instruct_v03,Mistral-7B,8,2048,2k,32,32,0,predicted,12.17162172436714,12.264480916845796,64.33039351701736,64.28236161470413,23.846268978985876,27.465821280623928,28.501171875,298.11453014513614,"Model-aware KVCore prediction; avoids most but not all preemptions; kv_unit_rel=1.000, pressure=2.000",1.6732,1.1049723756906078,1.4388489208633095
vLLM,measured,raw_vllm,mistral_7b_instruct_v03,Mistral-7B,8,6144,6k,32,32,0,ok,13.424022912979126,13.678292062282562,271.3119455575943,273.0286376476288,42.1296757931276,44.08763761203633,38.7841796875,180.88641474443608,measured raw requests,1.0,1.0,1.0
InfiniGen,predicted,llama31_ratio_with_model_specific_adjustment,mistral_7b_instruct_v03,Mistral-7B,8,6144,6k,32,32,0,predicted,23.34091309877106,26.66136739248258,1097.147116986339,1121.192089143937,178.81351107201075,182.8654249253005,22.868287028582504,45.43029417839383,"Predicted from Llama-3.1 InfiniGen/vLLM ratio plus model-aware adjustment; kv_unit_rel=1.000, pressure=3.000",0.2511537101477723,0.5751284388992444,0.24351637894278594
KVCore (pred.),predicted,modelaware_from_vllm_configs_and_blockwisepress_prior,mistral_7b_instruct_v03,Mistral-7B,8,6144,6k,32,32,0,predicted,11.813140163421629,12.036897014808654,170.9265257012844,166.54746896505355,23.171321686220185,24.248200686619985,23.8522705078125,346.8677889139306,"Model-aware KVCore prediction; avoids most but not all preemptions; kv_unit_rel=1.000, pressure=3.000",1.9176,1.1363636363636365,1.639344262295082
vLLM,measured,raw_vllm,mistral_7b_instruct_v03,Mistral-7B,16,1024,1k,32,32,0,ok,25.95594561100006,27.244846584796907,79.47370445728302,80.1377546787262,51.837357172994,76.29254936705364,44.1494140625,205.9456555897025,measured raw requests,1.0,1.0,1.0
InfiniGen,predicted,llama31_ratio_with_model_specific_adjustment,mistral_7b_instruct_v03,Mistral-7B,16,1024,1k,32,32,0,predicted,46.59046502505617,50.057974950127225,466.33397122059154,483.3334795418146,413.2668134395471,436.5433900712538,30.200074093886094,35.63536262514622,"Predicted from Llama-3.1 InfiniGen/vLLM ratio plus model-aware adjustment; kv_unit_rel=1.000, pressure=2.000",0.1730328446264541,0.5571085327661155,0.165802200904217
KVCore (pred.),predicted,modelaware_from_vllm_configs_and_blockwisepress_prior,mistral_7b_instruct_v03,Mistral-7B,16,1024,1k,32,32,0,predicted,22.971011865735054,24.111689227545263,55.63159312009811,55.695739501714705,32.13916144725628,47.30138060757326,29.580107421875002,340.7164926076038,"Model-aware KVCore prediction; avoids most but not all preemptions; kv_unit_rel=1.000, pressure=2.000",1.6543999999999999,1.1299435028248588,1.4388489208633093
vLLM,measured,raw_vllm,mistral_7b_instruct_v03,Mistral-7B,16,2048,2k,32,32,0,ok,26.561477661132812,27.00776200532913,145.61770951747894,145.9693455696106,58.152302793743324,70.37752505737782,43.69140625,224.912185695858,measured raw requests,1.0,1.0,1.0
InfiniGen,predicted,llama31_ratio_with_model_specific_adjustment,mistral_7b_instruct_v03,Mistral-7B,16,2048,2k,32,32,0,predicted,49.5619721182679,51.31956720619307,664.6168854143165,652.4524151840976,291.6208352523943,308.8380743875823,28.02081735966412,50.02286985771481,"Predicted from Llama-3.1 InfiniGen/vLLM ratio plus model-aware adjustment; kv_unit_rel=1.000, pressure=3.000",0.22241066975961557,0.5359245511407443,0.2237241248136441
KVCore (pred.),predicted,modelaware_from_vllm_configs_and_blockwisepress_prior,mistral_7b_instruct_v03,Mistral-7B,16,2048,2k,32,32,0,predicted,22.842870788574217,23.226675324583052,91.73915699601172,89.04130079746245,31.983766536558832,38.707638781557804,26.87021484375,427.06325819929515,"Model-aware KVCore prediction; avoids most but not all preemptions; kv_unit_rel=1.000, pressure=3.000",1.8987999999999998,1.1627906976744187,1.6393442622950822
vLLM,measured,raw_vllm,mistral_7b_instruct_v03,Mistral-7B,16,6144,6k,32,32,0,ok,18.142070770263672,478.72963184833526,677.9157457351685,681.0621454715729,106.92386858551015,110.5131315680367,31.9404296875,144.98446772032295,measured raw requests,1.0,1.0,1.0
InfiniGen,predicted,llama31_ratio_with_model_specific_adjustment,mistral_7b_instruct_v03,Mistral-7B,16,6144,6k,32,32,0,predicted,58.09177352186479,45.67405967288439,1837.145820502767,1913.4882308437693,297.5593789360274,310.7619956328416,32.61412754275463,54.3034178793782,"Predicted from Llama-3.1 InfiniGen/vLLM ratio plus model-aware adjustment; kv_unit_rel=1.000, pressure=4.000",0.37454645130766867,0.3123001704094177,0.3559270104166006
KVCore (pred.),predicted,modelaware_from_vllm_configs_and_blockwisepress_prior,mistral_7b_instruct_v03,Mistral-7B,16,6144,6k,32,32,0,predicted,15.148629093170165,399.7392425933599,379.6328176116943,357.5576263725757,51.32345692104487,53.046303152657615,17.886640625000002,310.7307112181962,"Model-aware KVCore prediction; avoids most but not all preemptions; kv_unit_rel=1.000, pressure=4.000",2.1432,1.1976047904191618,1.9047619047619049
vLLM,measured,raw_vllm,qwen3_8b,Qwen3-8B,1,1024,1k,32,32,0,ok,1.7430336475372314,1.7721561336517335,30.991223573684692,33.580936772823335,28.591360980581094,31.106600386189807,43.2783203125,32.776796571744,measured raw requests,1.0,1.0,1.0
InfiniGen,predicted,llama31_ratio_with_model_specific_adjustment,qwen3_8b,Qwen3-8B,1,1024,1k,32,32,0,predicted,2.46133124482835,4.77129402207329,94.27875199504149,184.0391191024429,89.77996608063042,178.1653517550054,16.37268043360821,10.124854453934574,"Predicted from Llama-3.1 InfiniGen/vLLM ratio plus model-aware adjustment; kv_unit_rel=1.125, pressure=0.000",0.3089031117416441,0.7081670340794737,0.18246629812507936
KVCore (pred.),predicted,modelaware_from_vllm_configs_and_blockwisepress_prior,qwen3_8b,Qwen3-8B,1,1024,1k,32,32,0,predicted,1.6994578063488006,1.7278522303104402,24.79297885894775,27.032654102122784,20.728736710921293,22.55228527998761,33.75708984375,44.47155758854226,"Model-aware KVCore prediction; avoids most but not all preemptions; kv_unit_rel=1.125, pressure=0.000",1.3568,1.0256410256410258,1.2422360248447206
vLLM,measured,raw_vllm,qwen3_8b,Qwen3-8B,1,2048,2k,32,32,0,ok,1.7588207721710205,1.7776486587524414,59.53867697715759,63.2662980055809,28.230354735836144,30.044924590898596,43.1455078125,34.03745392710171,measured raw requests,1.0,1.0,1.0
InfiniGen,predicted,llama31_ratio_with_model_specific_adjustment,qwen3_8b,Qwen3-8B,1,2048,2k,32,32,0,predicted,2.431817658369209,20.711249128261393,184.75162192759385,221.72440908542865,89.05445506966946,100.74205774827003,16.378934301384824,10.882961222931948,"Predicted from Llama-3.1 InfiniGen/vLLM ratio plus model-aware adjustment; kv_unit_rel=1.125, pressure=1.125",0.31973487929620337,0.7232535573207803,0.2853375425220094
KVCore (pred.),predicted,modelaware_from_vllm_configs_and_blockwisepress_prior,qwen3_8b,Qwen3-8B,1,2048,2k,32,32,0,predicted,1.6708797335624694,1.6887662258148193,42.94227076977491,44.87953014770895,18.243866748034108,19.416532516868216,30.983867797851563,55.666919927708214,"Model-aware KVCore prediction; avoids most but not all preemptions; kv_unit_rel=1.125, pressure=1.125",1.6354607500000002,1.0526315789473684,1.4096916299559472
vLLM,measured,raw_vllm,qwen3_8b,Qwen3-8B,1,6144,6k,32,32,0,ok,1.7512863874435425,1.7828674626350403,177.51289248466492,181.35914672851564,28.61004162548847,29.238037812715632,42.7548828125,34.56026841857289,measured raw requests,1.0,1.0,1.0
InfiniGen,predicted,llama31_ratio_with_model_specific_adjustment,qwen3_8b,Qwen3-8B,1,6144,6k,32,32,0,predicted,2.4544190559870662,4.421597793715201,518.2666083140415,649.0861938477675,83.94815825884343,105.2621286722388,16.43360573390442,11.353970529966455,"Predicted from Llama-3.1 InfiniGen/vLLM ratio plus model-aware adjustment; kv_unit_rel=1.125, pressure=2.250",0.32852668828997766,0.7135237901497009,0.2794068776188613
KVCore (pred.),predicted,modelaware_from_vllm_configs_and_blockwisepress_prior,qwen3_8b,Qwen3-8B,1,6144,6k,32,32,0,predicted,1.6199399083852766,1.649152402937412,114.05203342139718,111.30917630462646,16.236198622464705,16.59258645871612,28.057891845703125,66.18827086317197,"Model-aware KVCore prediction; avoids most but not all preemptions; kv_unit_rel=1.125, pressure=2.250",1.9151550000000002,1.0810810810810811,1.629327902240326
vLLM,measured,raw_vllm,qwen3_8b,Qwen3-8B,8,1024,1k,32,32,0,ok,13.835060954093933,14.159704203605651,55.23389136791229,55.85998296737671,40.57584002337265,52.81666108473539,43.1943359375,149.24751571741749,measured raw requests,1.0,1.0,1.0
InfiniGen,predicted,llama31_ratio_with_model_specific_adjustment,qwen3_8b,Qwen3-8B,8,1024,1k,32,32,0,predicted,20.036157948012427,31.17866779107009,185.3279494295402,253.78802345865256,160.60071607790974,217.61451560074607,21.798290055359335,41.058323846540375,"Predicted from Llama-3.1 InfiniGen/vLLM ratio plus model-aware adjustment; kv_unit_rel=1.125, pressure=1.125",0.2751022263196625,0.6905046860776201,0.22010488204333048
KVCore (pred.),predicted,modelaware_from_vllm_configs_and_blockwisepress_prior,qwen3_8b,Qwen3-8B,8,1024,1k,32,32,0,predicted,12.866606687307357,13.168524909353255,39.83744414910674,39.62567541748285,26.222136615104574,34.132767226010245,31.018932495117188,240.91847406888542,"Model-aware KVCore prediction; avoids most but not all preemptions; kv_unit_rel=1.125, pressure=1.125",1.6142210000000004,1.0752688172043012,1.4096916299559472
vLLM,measured,raw_vllm,qwen3_8b,Qwen3-8B,8,2048,2k,32,32,0,ok,14.004830479621887,14.237955400943756,100.8487685918808,101.03664422035217,42.41857204893827,48.487318389055844,42.4130859375,162.7191340971734,measured raw requests,1.0,1.0,1.0
InfiniGen,predicted,llama31_ratio_with_model_specific_adjustment,qwen3_8b,Qwen3-8B,8,2048,2k,32,32,0,predicted,27.403001569881123,29.610535417979587,621.0466562640034,855.4378807585107,288.6912890934453,404.8565907056693,23.445383559856847,24.48796107926928,"Predicted from Llama-3.1 InfiniGen/vLLM ratio plus model-aware adjustment; kv_unit_rel=1.125, pressure=2.250",0.1504922037296821,0.5110692142212158,0.11811102418186543
KVCore (pred.),predicted,modelaware_from_vllm_configs_and_blockwisepress_prior,qwen3_8b,Qwen3-8B,8,2048,2k,32,32,0,predicted,12.674371584057807,12.885349637854098,64.7953338202834,62.011240390241134,24.07253963777247,27.516553185789192,27.833587646484375,308.1697814478513,"Model-aware KVCore prediction; avoids most but not all preemptions; kv_unit_rel=1.125, pressure=2.250",1.8938754999999998,1.1049723756906078,1.6293279022403262
vLLM,measured,raw_vllm,qwen3_8b,Qwen3-8B,8,6144,6k,32,32,0,ok,13.941563963890076,14.069149208068847,293.0894718170166,295.65617632865906,45.67685345378505,47.73326904983682,39.716796875,167.56024125980437,measured raw requests,1.0,1.0,1.0
InfiniGen,predicted,llama31_ratio_with_model_specific_adjustment,qwen3_8b,Qwen3-8B,8,6144,6k,32,32,0,predicted,26.765865098918255,30.279800854770937,1361.733340185298,1394.9372785746368,218.10263633433945,222.7350029563663,24.120730969558704,35.848802004077086,"Predicted from Llama-3.1 InfiniGen/vLLM ratio plus model-aware adjustment; kv_unit_rel=1.125, pressure=3.375",0.2139457530888431,0.5208710390030893,0.21194944093168402
KVCore (pred.),predicted,modelaware_from_vllm_configs_and_blockwisepress_prior,qwen3_8b,Qwen3-8B,8,6144,6k,32,32,0,predicted,12.268576288223265,12.380851303100584,165.2291897368431,153.1868563602864,22.32456212553744,23.329635248107742,23.606671142578126,364.3703846947646,"Model-aware KVCore prediction; avoids most but not all preemptions; kv_unit_rel=1.125, pressure=3.375",2.1745635,1.1363636363636365,1.930036188178529
vLLM,measured,raw_vllm,qwen3_8b,Qwen3-8B,16,1024,1k,32,32,0,ok,27.7696475982666,28.21835238933563,85.87563908100128,85.9920015335083,56.913346955270484,82.27289842836785,44.0693359375,190.78538824829934,measured raw requests,1.0,1.0,1.0
InfiniGen,predicted,llama31_ratio_with_model_specific_adjustment,qwen3_8b,Qwen3-8B,16,1024,1k,32,32,0,predicted,55.03832273191668,57.247324546059836,578.9478971264517,595.8866671975915,510.4513168442783,529.6080885353105,31.049656173413297,28.12145126520782,"Predicted from Llama-3.1 InfiniGen/vLLM ratio plus model-aware adjustment; kv_unit_rel=1.125, pressure=2.250",0.14739834912623867,0.5045511240145951,0.14430932300922586
KVCore (pred.),predicted,modelaware_from_vllm_configs_and_blockwisepress_prior,qwen3_8b,Qwen3-8B,16,1024,1k,32,32,0,predicted,24.576138124465942,24.973241864562034,55.17509810954331,52.77759094119071,32.298324397116,46.68986985809876,28.920501708984375,357.2639548922123,"Model-aware KVCore prediction; avoids most but not all preemptions; kv_unit_rel=1.125, pressure=2.250",1.872596,1.1299435028248588,1.6293279022403262
